Result,Exit_Velocity,Launch_Angle,Distance,Direction,Pitch,Pitch_Type
double,100.4,25,381,Opposite,98.9,2-Seam Fastball
field_out,86.5,35,320,Straightaway,92.7,4-Seam Fastball
single,82.6,16,193,Pull,96.6,4-Seam Fastball
field_out,89.4,17,276,Opposite,96.6,2-Seam Fastball
field_out,93.5,38,336,Opposite,93.3,Sinker
single,100.5,-17,5,Straightaway,96.1,4-Seam Fastball
single,104.7,-2,43,Pull,90.1,Changeup
field_out,95.4,3,77,Pull,93.2,2-Seam Fastball
single,77.1,17,179,Opposite,91,Sinker
field_out,97.7,10,143,Pull,72.7,Curveball
field_out,99.2,36,370,Straightaway,88.3,Cutter
field_out,97.7,19,318,Opposite,95.7,Sinker
field_out,98.4,35,380,Straightaway,73.8,Curveball
double,102.6,23,392,Straightaway,95.4,4-Seam Fastball
single,106.6,14,265,Pull,91.3,Sinker
single,101.7,-5,22,Straightaway,92.9,Sinker
field_out,90,24,342,Straightaway,80.3,Slider
field_out,89.9,47,305,Opposite,89.5,2-Seam Fastball
field_out,99.1,17,296,Pull,90.7,4-Seam Fastball
field_out,107.7,36,430,Pull,92.1,4-Seam Fastball
single,93.6,-12,11,Straightaway,86.1,Changeup
field_out,91.5,-13,12,Pull,87.4,Changeup
field_out,71.4,-23,6,Pull,91.1,2-Seam Fastball
field_out,90,45,303,Opposite,90.6,4-Seam Fastball
field_out,102.4,24,383,Straightaway,83.3,Slider
single,109.2,13,247,Pull,95,4-Seam Fastball
field_out,61.9,-19,5,Pull,90.2,Slider
single,104.7,11,209,Pull,89,Changeup
field_out,96.4,-8,14,Straightaway,89.4,Slider
field_out,89,42,309,Straightaway,95.8,2-Seam Fastball
field_out,74.2,-2,20,Straightaway,76.6,Slider
field_out,47.3,-32,3,Pull,94.7,2-Seam Fastball
double,100.3,13,259,Opposite,90.5,4-Seam Fastball
field_out,77,30,266,Opposite,91.4,4-Seam Fastball
single,70.7,18,158,Opposite,92.6,2-Seam Fastball
field_out,85.6,-13,12,Pull,92.6,4-Seam Fastball
field_out,94,51,273,Straightaway,87.8,Changeup
field_out,99.7,7,132,Pull,82.9,Split-Finger
field_out,90.1,12,153,Pull,94.6,2-Seam Fastball
field_out,105.9,7,125,Straightaway,78.6,Changeup
field_out,100.4,-6,20,Straightaway,79.4,Changeup
field_out,102.5,1,65,Pull,90.4,4-Seam Fastball
field_out,93.6,-5,19,Straightaway,92.4,4-Seam Fastball
field_out,103.6,5,118,Pull,91.3,4-Seam Fastball
field_out,98.4,7,131,Straightaway,92.8,4-Seam Fastball
single,98.7,13,241,Opposite,93.6,Sinker
home_run,109.2,26,432,Pull,92.9,4-Seam Fastball
single,97.5,1,62,Opposite,95.2,4-Seam Fastball
field_out,100.4,36,369,Opposite,96.2,4-Seam Fastball
single,89.7,7,105,Pull,85.2,Curveball
home_run,97.8,31,389,Opposite,92.2,4-Seam Fastball
field_out,90.8,44,327,Opposite,93.1,4-Seam Fastball
field_out,76.4,29,254,Opposite,94.2,4-Seam Fastball
field_out,85.6,-7,16,Straightaway,90.9,2-Seam Fastball
home_run,96.4,28,387,Pull,93.2,4-Seam Fastball
field_out,79.7,29,269,Opposite,82.8,Slider
field_out,78.7,-8,14,Straightaway,87.3,Split-Finger
field_out,85.5,-15,7,Pull,95.2,Cutter
double,57.2,26,139,Opposite,96.1,Cutter
field_out,73.7,-21,4,Straightaway,80.6,Slider
field_out,84.3,-15,8,Pull,81.9,Curveball
single,95.6,-4,25,Pull,87.8,Cutter
field_out,96.8,18,297,Opposite,91.7,Sinker
field_out,73.4,-23,6,Pull,92.6,Sinker
field_out,96.8,46,355,Pull,88.4,4-Seam Fastball
field_out,89.4,50,301,Opposite,90.8,4-Seam Fastball
field_out,78.7,34,292,Straightaway,91.3,4-Seam Fastball
double,103.7,20,369,Opposite,96.3,4-Seam Fastball
field_out,81.4,38,288,Straightaway,81.9,Changeup
field_out,60.1,41,187,Straightaway,91.3,4-Seam Fastball
field_out,92.9,48,287,Straightaway,92.3,4-Seam Fastball
field_out,86.4,37,300,Opposite,84.2,Slider
field_out,94.3,-21,4,Straightaway,94.2,2-Seam Fastball
field_out,88.3,-18,6,Pull,88.4,Slider
single,82.8,22,257,Straightaway,88.3,Cutter
single,35.3,-53,2,Straightaway,88.6,Cutter
triple,102,27,413,Straightaway,92.4,4-Seam Fastball
double,109.5,5,110,Straightaway,86.6,Cutter
home_run,110.5,26,439,Pull,88.3,Sinker
field_out,103.4,-13,7,Straightaway,91.4,Sinker
single,99.1,1,52,Straightaway,91.4,Sinker
single,93.7,8,127,Straightaway,89.3,Slider
double,101.9,15,226,Pull,92.5,2-Seam Fastball
field_out,99.8,1,50,Pull,89.8,4-Seam Fastball
field_out,80.3,-19,5,Pull,91.3,Sinker
field_out,99.5,-11,10,Straightaway,92.1,Sinker
field_out,103.7,9,144,Straightaway,93,2-Seam Fastball
field_out,93.1,33,337,Opposite,92.2,4-Seam Fastball
field_out,93.9,-16,5,Pull,98.5,4-Seam Fastball
field_out,85,40,286,Straightaway,93.4,4-Seam Fastball
double,102.5,15,246,Pull,89.5,Sinker
single,97.1,-6,11,Straightaway,91.7,4-Seam Fastball
single,100.9,5,86,Straightaway,93.7,4-Seam Fastball
single,101.4,4,110,Opposite,88.4,Split-Finger
home_run,101.4,31,400,Pull,90.7,4-Seam Fastball
double,98.2,3,84,Opposite,91.7,2-Seam Fastball
field_out,106.5,-15,5,Straightaway,90.5,Sinker
single,99.4,15,210,Pull,90.7,Cutter
home_run,98.5,33,410,Pull,95.2,4-Seam Fastball
double,110.7,17,326,Pull,89.9,4-Seam Fastball
field_out,95.5,-14,9,Straightaway,94.3,Cutter
field_out,75,-25,4,Straightaway,81.5,Slider
field_out,92.8,39,336,Pull,93.9,4-Seam Fastball
double,96.1,15,235,Opposite,85.5,Split-Finger
single,99.3,15,241,Pull,81.1,Curveball
field_out,91.5,-22,5,Straightaway,82.1,Curveball
field_out,83.6,4,64,Pull,92.9,Sinker
field_out,75.8,-17,5,Straightaway,84.8,Changeup
single,102.7,15,260,Straightaway,90.5,4-Seam Fastball
double,108.5,19,349,Pull,82.7,Split-Finger
field_out,90.4,34,311,Opposite,86,Changeup
single,92.5,-13,9,Pull,79.2,Slider
double,101.6,21,362,Opposite,96.6,4-Seam Fastball
single,106.8,8,148,Straightaway,97.2,4-Seam Fastball
home_run,98.6,30,371,Pull,81.9,Changeup
field_out,93.2,42,319,Straightaway,82.3,Cutter
field_out,83.4,46,258,Straightaway,82.4,Cutter
double,110.3,18,380,Straightaway,85.4,Cutter
field_out,90.6,32,331,Opposite,81.7,Slider
single,108.3,9,189,Opposite,85.9,Split-Finger
field_out,98.8,-11,8,Straightaway,87.8,Split-Finger
field_out,88.3,-2,23,Pull,85.2,Slider
single,107.3,11,201,Pull,82.6,Split-Finger
single,99.9,10,166,Opposite,75.8,Curveball
field_out,97.6,26,347,Opposite,85.2,Cutter
field_out,82.6,44,260,Straightaway,85.2,Split-Finger
field_out,94.6,30,346,Opposite,87.3,Split-Finger
field_out,100.8,-13,9,Straightaway,87.7,2-Seam Fastball
field_out,75,-18,7,Opposite,88.3,2-Seam Fastball
single,86.4,3,71,Opposite,81.7,Slider
field_out,103.1,34,411,Straightaway,92.4,4-Seam Fastball
single,95.2,13,229,Opposite,95.1,4-Seam Fastball
field_out,89.3,-20,6,Pull,77.7,Changeup
single,78.9,23,252,Straightaway,81.8,Cutter
single,87.5,12,168,Opposite,94.6,4-Seam Fastball
field_out,102.7,8,142,Pull,96.6,4-Seam Fastball
single,80.5,17,202,Opposite,96.9,4-Seam Fastball
field_out,88.1,45,286,Straightaway,97.3,4-Seam Fastball
field_out,75.3,-22,7,Pull,77.8,Changeup
single,94,-7,16,Straightaway,89.3,Slider
home_run,107.1,44,359,Pull,92.5,4-Seam Fastball
field_out,99.1,-1,42,Straightaway,94.9,4-Seam Fastball
field_out,98.5,-17,7,Straightaway,96.7,4-Seam Fastball
field_out,77.2,-20,6,Pull,86.6,Slider
double,103.1,22,388,Straightaway,85.4,Split-Finger
single,107.2,15,251,Pull,88.8,4-Seam Fastball
field_out,97.4,35,374,Straightaway,91.7,4-Seam Fastball
field_out,69.9,1,37,Pull,87.6,Slider
field_out,98.6,36,361,Opposite,93.3,2-Seam Fastball
field_out,98.7,-3,24,Straightaway,87.2,Slider
field_out,80,1,42,Pull,90.3,Slider
field_out,76.2,2,47,Opposite,92.5,2-Seam Fastball
single,100.8,10,175,Straightaway,95.9,2-Seam Fastball
single,96.8,1,47,Straightaway,99.4,2-Seam Fastball
field_out,84.5,-16,8,Pull,97,4-Seam Fastball
double,100.7,23,365,Straightaway,86.5,Changeup
field_out,90,-18,7,Straightaway,77.5,Knuckle Curve
double,109.2,14,240,Straightaway,97,2-Seam Fastball
triple,100.8,34,376,Opposite,97.2,4-Seam Fastball
field_out,98.2,21,319,Opposite,81.3,Curveball
single,94.5,9,137,Straightaway,84.8,Slider
field_out,104.2,12,177,Pull,75.3,Changeup
single,99.5,6,100,Pull,66.9,Curveball
field_out,78.4,63,168,Straightaway,85.7,Cutter
single,102.3,1,58,Straightaway,79.8,Curveball
home_run,101.5,29,361,Pull,93.1,4-Seam Fastball
field_out,88.2,4,72,Pull,93.3,4-Seam Fastball
field_out,77.1,-36,4,Pull,97.4,4-Seam Fastball
field_out,97.2,41,339,Straightaway,89.2,2-Seam Fastball
field_out,70.8,63,157,Opposite,94.5,4-Seam Fastball
field_out,79.1,-26,6,Pull,88.4,Changeup
single,94.9,-10,18,Pull,93.9,Sinker
single,82,13,142,Pull,84.5,Changeup
field_out,98.4,-6,21,Opposite,88.9,Cutter
single,100,-1,34,Straightaway,78,Knuckle Curve
double,109.1,19,393,Straightaway,88.2,4-Seam Fastball
field_out,91,31,317,Opposite,93.3,4-Seam Fastball
field_out,100.8,21,364,Straightaway,83.9,Cutter
single,62.2,30,193,Pull,91.1,2-Seam Fastball
single,104.9,12,179,Straightaway,89.8,4-Seam Fastball
home_run,110.2,24,440,Straightaway,91.5,4-Seam Fastball
field_out,49.9,48,133,Opposite,89.2,Sinker
field_out,98.4,8,136,Straightaway,90.5,Sinker
field_out,65.4,4,53,Opposite,81.4,Slider
single,103.5,-1,38,Pull,89.3,Cutter
field_out,78.9,36,283,Straightaway,79.8,Slider
field_out,94.9,22,339,Straightaway,80.7,Slider
single,69.1,32,213,Opposite,90,2-Seam Fastball
field_out,101.4,4,106,Straightaway,90.6,2-Seam Fastball
single,98.6,13,181,Pull,94.1,4-Seam Fastball
double,105,5,112,Opposite,78,Slider
single,100.3,12,193,Pull,92.2,4-Seam Fastball
single,87.4,19,234,Straightaway,95.3,4-Seam Fastball
single,94.8,11,216,Opposite,95.5,4-Seam Fastball
single,94.1,18,268,Opposite,87.6,Changeup
single,84.9,23,266,Pull,95.4,4-Seam Fastball
single,108.9,10,213,Straightaway,95.6,4-Seam Fastball
single,105.4,9,189,Straightaway,96.1,4-Seam Fastball
single,87.6,17,200,Straightaway,89.5,4-Seam Fastball
single,99.9,0,38,Straightaway,74.1,Curveball
field_out,94.6,-17,6,Opposite,88.5,4-Seam Fastball
field_out,99.1,-7,12,Straightaway,92.9,4-Seam Fastball
field_out,99.7,15,292,Straightaway,92.9,4-Seam Fastball
field_out,81.2,53,222,Opposite,94.6,4-Seam Fastball
single,104.3,3,76,Pull,93.6,4-Seam Fastball
field_out,88.2,1,44,Pull,88.6,Cutter
double,95.2,32,373,Pull,92.3,4-Seam Fastball
single,102.2,11,219,Straightaway,97.3,4-Seam Fastball
field_out,66.5,-28,3,Pull,83.9,Changeup
single,70.5,31,222,Opposite,91.7,Sinker
field_out,56.6,5,54,Straightaway,92,Sinker
home_run,98,26,345,Pull,79.2,Slider
single,69.5,1,37,Straightaway,90,4-Seam Fastball
home_run,102.6,25,357,Opposite,92.1,4-Seam Fastball
field_out,62.6,-44,3,Pull,88.4,2-Seam Fastball
single,97.2,2,58,Pull,90.5,2-Seam Fastball
field_out,91.9,-11,14,Straightaway,92.5,Cutter
