Result,Exit_Velocity,Launch_Angle,Distance,Direction,Pitch,Pitch_Type
field_out,99,-13,10,Straightaway,92.6,2-Seam Fastball
single,64.5,47,180,Opposite,90.5,4-Seam Fastball
field_out,106.4,-5,16,Straightaway,91.2,4-Seam Fastball
field_out,96.8,56,257,Opposite,89.6,2-Seam Fastball
single,85.4,18,231,Opposite,90.3,2-Seam Fastball
single,88.1,12,141,Straightaway,84.8,Changeup
field_out,68.4,-32,3,Pull,91.1,Sinker
home_run,102.6,33,393,Pull,72,Curveball
double,95.7,34,321,Opposite,83.9,Sinker
field_out,93,26,325,Opposite,92.1,4-Seam Fastball
field_out,103.3,-5,16,Opposite,89.4,Sinker
field_out,78.3,-24,4,Pull,82.7,Slider
field_out,102.2,20,312,Opposite,92.7,2-Seam Fastball
field_out,81.7,58,191,Straightaway,93.9,2-Seam Fastball
field_out,89.6,24,335,Straightaway,89.5,4-Seam Fastball
single,101.7,13,233,Straightaway,92.6,2-Seam Fastball
single,105.3,14,267,Opposite,91.3,2-Seam Fastball
single,97.2,7,109,Straightaway,91.5,4-Seam Fastball
field_out,81,0,37,Straightaway,91.1,2-Seam Fastball
field_out,97.4,2,63,Pull,85.7,Changeup
triple,101.2,18,340,Straightaway,90.5,4-Seam Fastball
field_out,75.1,35,251,Opposite,81.3,Changeup
single,91.5,17,280,Straightaway,78,Curveball
home_run,94.6,32,369,Pull,93.1,Sinker
single,91.5,8,108,Pull,92.9,4-Seam Fastball
field_out,90.4,38,320,Straightaway,84.1,Changeup
home_run,104.2,26,436,Straightaway,91.3,2-Seam Fastball
field_out,100.2,23,353,Pull,92.5,2-Seam Fastball
field_out,97.5,12,163,Straightaway,76.2,Curveball
single,104.4,5,112,Opposite,93.1,4-Seam Fastball
field_out,83.7,0,40,Pull,74,Curveball
field_out,79.2,25,235,Opposite,86.4,Cutter
field_out,42.7,-66,1,Pull,91.9,Cutter
field_out,101.5,5,99,Opposite,94.9,2-Seam Fastball
double,95.2,12,172,Pull,79.5,Slider
field_out,74.4,42,238,Opposite,81.8,Slider
field_out,81.6,45,250,Straightaway,90.1,4-Seam Fastball
field_out,103.7,60,230,Pull,94.4,4-Seam Fastball
field_out,108.9,17,309,Pull,88.9,Changeup
field_out,97.6,-3,27,Straightaway,80.4,Curveball
single,70.3,19,159,Opposite,98,Sinker
field_out,98.8,5,85,Pull,88,4-Seam Fastball
field_out,96.9,28,368,Straightaway,96.4,4-Seam Fastball
field_out,74.7,14,137,Pull,76,Curveball
field_out,85.3,-22,7,Straightaway,82.8,Changeup
field_out,85.2,34,287,Opposite,84.5,Slider
single,100.4,8,116,Straightaway,85.1,Slider
home_run,101.5,32,392,Opposite,91.9,4-Seam Fastball
double,99.5,16,300,Opposite,91,Sinker
single,74,6,81,Straightaway,94.2,2-Seam Fastball
single,97.9,15,208,Pull,97,2-Seam Fastball
field_out,95.5,3,78,Opposite,90.9,4-Seam Fastball
field_out,95.1,48,299,Opposite,97.3,4-Seam Fastball
field_out,72.8,-34,4,Opposite,80.7,Slider
field_out,86.4,-16,8,Pull,93.9,4-Seam Fastball
field_out,79.6,-26,5,Pull,79.8,Curveball
single,97.5,13,198,Pull,93.7,2-Seam Fastball
single,91.8,-7,18,Straightaway,96.2,2-Seam Fastball
single,92,1,42,Pull,85.6,Changeup
field_out,99.3,2,55,Pull,91.2,2-Seam Fastball
single,104.2,6,115,Pull,95.1,2-Seam Fastball
field_out,98.1,0,40,Pull,87.4,Slider
field_out,72.2,51,201,Opposite,85.4,Split-Finger
single,104.1,12,213,Opposite,91.3,4-Seam Fastball
field_out,95.5,28,333,Pull,94,4-Seam Fastball
field_out,85.8,34,316,Opposite,82.5,Changeup
double,99.6,31,362,Opposite,86.2,Slider
field_out,57.5,-44,2,Straightaway,96.2,4-Seam Fastball
field_out,101.6,27,378,Straightaway,77.2,Slider
single,64.4,32,203,Straightaway,79.1,Slider
field_out,92.6,7,105,Straightaway,79.9,Curveball
single,97.8,4,82,Pull,87.3,Cutter
field_out,78.8,-35,2,Straightaway,91.6,Sinker
home_run,107.3,29,434,Straightaway,88.4,4-Seam Fastball
field_out,80,4,61,Pull,79.8,Changeup
field_out,93.2,-5,23,Pull,80,Changeup
field_out,62.6,-34,4,Straightaway,85.9,Changeup
home_run,107,33,431,Pull,90.3,2-Seam Fastball
single,88.6,-23,5,Straightaway,93.1,2-Seam Fastball
field_out,81.3,15,158,Pull,88.1,Cutter
field_out,94.9,-10,10,Straightaway,98.5,Sinker
home_run,108.4,34,431,Straightaway,90.4,4-Seam Fastball
field_out,89.2,39,332,Opposite,93.1,4-Seam Fastball
field_out,85.3,-21,4,Pull,98.1,4-Seam Fastball
single,95.6,0,46,Pull,84.2,Changeup
field_out,86.8,-28,5,Straightaway,88.4,2-Seam Fastball
field_out,90.9,22,315,Straightaway,94.1,4-Seam Fastball
single,94.1,16,261,Straightaway,95,4-Seam Fastball
field_out,58.2,-38,3,Straightaway,88.9,Slider
field_out,101,8,133,Pull,82.8,Changeup
single,73.3,18,180,Opposite,96.5,2-Seam Fastball
single,91.8,12,216,Straightaway,89.5,Changeup
field_out,89.1,23,306,Pull,96.7,4-Seam Fastball
single,98.7,14,241,Straightaway,92.8,4-Seam Fastball
field_out,99.8,8,131,Pull,78.5,Curveball
field_out,94.2,31,327,Opposite,99.7,4-Seam Fastball
home_run,101,31,411,Straightaway,88.2,Changeup
single,76.9,29,248,Opposite,96.6,4-Seam Fastball
home_run,106.2,23,406,Straightaway,98.2,4-Seam Fastball
field_out,94.2,-4,28,Straightaway,87.4,Cutter
single,33.9,19,56,Pull,89.4,4-Seam Fastball
field_out,71.3,15,131,Pull,94.7,4-Seam Fastball
field_out,87.9,22,283,Opposite,83.1,Changeup
single,103.2,2,49,Straightaway,91.6,4-Seam Fastball
single,95.1,-23,4,Straightaway,95.1,4-Seam Fastball
field_out,92.5,11,138,Pull,95.9,4-Seam Fastball
field_out,46.2,41,114,Opposite,84,Curveball
field_out,80.6,41,257,Opposite,94.6,4-Seam Fastball
field_out,103,19,330,Straightaway,84.3,Slider
field_out,98.2,41,340,Opposite,92,2-Seam Fastball
single,104.3,-1,41,Straightaway,93.6,2-Seam Fastball
home_run,105.5,32,440,Straightaway,97.1,4-Seam Fastball
field_out,91.2,44,305,Opposite,85.3,Changeup
field_out,85.3,-18,6,Pull,77.8,Curveball
single,87.6,9,152,Opposite,86.9,Slider
field_out,91.9,-17,8,Straightaway,90.1,4-Seam Fastball
single,55.2,-56,2,Pull,79.5,Changeup
single,91.1,14,221,Straightaway,88.7,Cutter
single,39.3,-60,2,Opposite,92.6,2-Seam Fastball
home_run,106.9,28,420,Pull,93.5,2-Seam Fastball
field_out,108.4,0,46,Straightaway,94,2-Seam Fastball
field_out,99.7,21,337,Opposite,91.7,2-Seam Fastball
field_out,103.9,10,158,Pull,92.7,4-Seam Fastball
double,101.4,21,339,Straightaway,92.7,4-Seam Fastball
field_out,100.5,10,144,Pull,93.6,4-Seam Fastball
home_run,98.4,37,367,Pull,85,Slider
double,109.8,19,386,Straightaway,93.1,4-Seam Fastball
field_out,91.1,22,321,Pull,96.1,4-Seam Fastball
single,101.7,9,183,Straightaway,94.1,2-Seam Fastball
field_out,92.7,26,345,Straightaway,93.2,4-Seam Fastball
field_out,62.8,-45,4,Pull,93.6,4-Seam Fastball
field_out,98.7,39,364,Straightaway,92.3,4-Seam Fastball
field_out,55.2,-43,3,Straightaway,93.6,Cutter
field_out,68.4,-34,4,Pull,92.7,Sinker
single,97.9,15,249,Pull,73.7,Curveball
field_out,83.9,28,284,Opposite,90.4,Sinker
single,106.9,9,153,Straightaway,91.2,Sinker
single,94.5,18,296,Pull,91.5,Sinker
single,90.3,15,188,Pull,76.7,Curveball
field_out,81.8,11,150,Opposite,83.5,Knuckle Curve
field_out,78.7,29,279,Straightaway,86.6,Slider
field_out,100.9,-7,12,Pull,89.9,2-Seam Fastball
field_out,84.9,22,279,Pull,97.5,4-Seam Fastball
field_out,99.8,18,289,Pull,73.2,Curveball
field_out,101.4,20,373,Straightaway,74.4,Curveball
double,70.2,3,57,Opposite,88.5,Sinker
field_out,86.6,-4,22,Pull,94.1,2-Seam Fastball
field_out,93.3,-8,19,Pull,94.2,2-Seam Fastball
field_out,44.6,-31,3,Straightaway,94.9,2-Seam Fastball
field_out,82.7,-7,17,Pull,87.6,Sinker
double,106.9,17,330,Pull,91.8,4-Seam Fastball
field_out,98.8,3,67,Pull,94.8,4-Seam Fastball
field_out,105.4,19,290,Pull,88.7,Sinker
field_out,90,-10,15,Pull,89.7,2-Seam Fastball
field_out,42.3,26,93,Pull,86.5,Cutter
field_out,96.3,37,362,Straightaway,79.7,Slider
field_out,86.3,24,306,Straightaway,90,Slider
single,99.3,8,133,Pull,89.3,2-Seam Fastball
field_out,94.7,43,343,Straightaway,94,2-Seam Fastball
field_out,94.2,13,168,Pull,90.7,4-Seam Fastball
single,101,15,249,Straightaway,90.9,4-Seam Fastball
field_out,100.1,-11,8,Pull,96.4,2-Seam Fastball
field_out,95.7,6,111,Straightaway,79.3,Curveball
field_out,99.7,32,387,Opposite,93,2-Seam Fastball
field_out,87.4,60,216,Opposite,93.7,2-Seam Fastball
field_out,75.9,33,254,Opposite,84.9,Slider
field_out,87.8,-11,14,Pull,86.6,Slider
field_out,60.9,-23,6,Pull,87.9,Slider
field_out,55.2,-52,2,Pull,83.5,Changeup
single,75.3,22,206,Opposite,84.6,Changeup
field_out,91.3,20,304,Opposite,84.7,Changeup
field_out,82.8,-2,34,Pull,79.8,Slider
field_out,84.9,32,329,Pull,92.6,4-Seam Fastball
single,106.2,13,203,Pull,76.5,Knuckle Curve
field_out,86.7,-30,5,Straightaway,93.4,4-Seam Fastball
field_out,65,1,36,Straightaway,87.9,Slider
home_run,105.1,32,418,Straightaway,90.7,2-Seam Fastball
single,100.9,13,188,Pull,91.3,2-Seam Fastball
field_out,94.5,-15,11,Straightaway,83.3,Changeup
field_out,100.7,-1,37,Pull,93,Sinker
single,60,14,105,Straightaway,96.5,4-Seam Fastball
single,95.8,-20,7,Straightaway,88.8,Sinker
field_out,99.1,1,51,Pull,76.9,Slider
field_out,22.6,-18,4,Opposite,84.7,Split-Finger
field_out,90.9,-23,2,Straightaway,88,Sinker
single,98,-22,6,Straightaway,94.9,Sinker
field_out,99.7,11,166,Straightaway,79.8,Knuckle Curve
field_out,74.9,-1,33,Straightaway,81,Knuckle Curve
home_run,105.5,23,382,Opposite,87.1,Split-Finger
single,105.1,15,276,Straightaway,87.2,Slider
field_out,79.2,13,162,Straightaway,89,4-Seam Fastball
field_out,92.5,37,337,Opposite,89.7,4-Seam Fastball
field_out,80.9,12,158,Straightaway,93.3,4-Seam Fastball
single,87.2,-13,9,Pull,83.9,Slider
field_out,93.9,22,328,Straightaway,95.3,2-Seam Fastball
single,92.2,15,199,Straightaway,89.8,4-Seam Fastball
field_out,97.6,33,371,Straightaway,83.2,Changeup
double,90.1,19,232,Pull,91.6,Changeup
field_out,91.3,-21,6,Pull,87.7,Changeup
field_out,64.3,-20,5,Pull,92.2,Changeup
field_out,86.1,9,118,Pull,86.9,Slider
single,102.6,12,235,Opposite,95.6,4-Seam Fastball
single,83,-22,5,Pull,85.6,Split-Finger
double,102.4,23,373,Straightaway,89.9,4-Seam Fastball
field_out,53.7,-32,3,Straightaway,85.7,Changeup
single,101.8,10,171,Straightaway,91.1,2-Seam Fastball
field_out,92.5,33,345,Opposite,92.3,4-Seam Fastball
single,95.1,12,173,Pull,84.6,Changeup
single,82.5,19,223,Pull,87.4,Cutter
single,102.8,1,52,Pull,92.8,4-Seam Fastball
field_out,94.8,-9,12,Straightaway,93.8,Sinker
single,101.8,1,56,Pull,84.7,Split-Finger
field_out,57.5,-47,2,Pull,96,2-Seam Fastball
single,107.9,15,252,Pull,87.4,4-Seam Fastball
field_out,105.9,-3,26,Straightaway,91,4-Seam Fastball
field_out,85,32,331,Straightaway,80.9,Changeup
field_out,93,-7,17,Pull,78.7,Slider
field_out,86.2,-9,19,Pull,91.2,4-Seam Fastball
field_out,76.8,42,256,Pull,93,4-Seam Fastball
field_out,81.3,12,157,Opposite,89.1,Slider
single,75.4,24,241,Straightaway,91.6,4-Seam Fastball
field_out,84,26,311,Straightaway,93.6,4-Seam Fastball
single,102.3,9,149,Straightaway,93.7,4-Seam Fastball
field_out,98.9,40,347,Pull,91.7,4-Seam Fastball
field_out,95,37,359,Opposite,81.5,Changeup
field_out,57.4,-35,2,Pull,81.8,Changeup
single,79.2,-15,9,Straightaway,93.7,4-Seam Fastball
double,99.1,20,335,Straightaway,89.3,Changeup
field_out,76,7,87,Pull,97.4,2-Seam Fastball
field_out,94.5,3,71,Pull,89,Cutter
single,105.1,15,284,Pull,89.7,2-Seam Fastball
field_out,86.6,12,178,Opposite,94.3,4-Seam Fastball
field_out,96.5,62,202,Straightaway,99.1,4-Seam Fastball
single,90.7,4,95,Straightaway,94.1,2-Seam Fastball
field_out,92.9,-12,12,Pull,87.3,Slider
field_out,96.4,47,330,Opposite,93.3,2-Seam Fastball
field_out,64.2,-36,4,Straightaway,94.4,2-Seam Fastball
field_out,90.7,21,301,Opposite,91.9,4-Seam Fastball
single,87,4,74,Pull,95.5,4-Seam Fastball
field_out,89.8,30,342,Straightaway,93.7,Sinker
single,100.3,8,148,Opposite,86.9,Cutter
field_out,81.1,-24,6,Pull,94.9,2-Seam Fastball
single,67.9,6,66,Straightaway,91.8,Sinker
single,77.2,26,252,Opposite,92.3,Sinker
home_run,103.8,23,363,Pull,88.3,Slider
single,100.9,12,186,Pull,91.3,2-Seam Fastball
double,103.8,29,393,Opposite,93,2-Seam Fastball
single,106.5,4,76,Straightaway,88.9,2-Seam Fastball
single,102.5,-1,39,Straightaway,89.9,2-Seam Fastball
field_out,103,1,45,Opposite,89.1,4-Seam Fastball
single,91.5,14,205,Straightaway,90.2,Cutter
single,93.9,19,278,Opposite,92.7,Sinker
field_out,70.1,-26,5,Pull,93,Sinker
field_out,94.8,-7,20,Pull,69.5,Curveball
double,99,23,316,Opposite,84.4,Slider
field_out,92.1,1,49,Pull,94.7,4-Seam Fastball
field_out,99.2,47,312,Opposite,90.8,Sinker
field_out,98.1,42,342,Straightaway,94.5,4-Seam Fastball
single,98,6,112,Straightaway,79.7,Knuckle Curve
single,103,10,152,Straightaway,91,Sinker
field_out,72.1,-12,9,Pull,91.1,Sinker
home_run,102.7,31,404,Pull,79,Changeup
field_out,55.9,-32,3,Pull,87.3,Split-Finger
single,83.6,17,226,Opposite,87.5,4-Seam Fastball
home_run,100.4,30,365,Opposite,88.7,Changeup
single,104.6,0,37,Pull,74.8,Curveball
field_out,84.3,-8,15,Straightaway,89.2,2-Seam Fastball
double,103.9,19,344,Opposite,94.6,2-Seam Fastball
field_out,86.2,31,318,Straightaway,90.1,Cutter
field_out,76,51,209,Opposite,86.9,Cutter
single,79.2,23,246,Pull,81.6,Slider
field_out,81.6,38,299,Straightaway,85.2,Slider
field_out,87.1,-7,22,Pull,89.7,4-Seam Fastball
home_run,108.1,26,447,Straightaway,96.3,4-Seam Fastball
field_out,76,-29,5,Pull,84.8,Changeup
double,103.2,24,398,Straightaway,88.9,2-Seam Fastball
field_out,93.4,38,344,Opposite,80.4,Split-Finger
field_out,86.9,-10,12,Pull,81.7,Split-Finger
field_out,108.5,11,182,Pull,95.2,Sinker
double,75,34,250,Opposite,92.3,2-Seam Fastball
field_out,67.9,17,156,Straightaway,93.3,4-Seam Fastball
field_out,64.6,-18,7,Pull,87.4,Changeup
field_out,96.3,38,340,Straightaway,83,Slider
single,90.6,13,178,Opposite,95.4,2-Seam Fastball
field_out,84,7,108,Opposite,95.9,2-Seam Fastball
double,91.9,38,334,Opposite,87.5,Split-Finger
field_out,103.9,18,340,Straightaway,88.8,Split-Finger
field_out,103.5,35,378,Straightaway,96.2,4-Seam Fastball
field_out,83.8,60,177,Straightaway,98.1,4-Seam Fastball
field_out,101.7,-7,18,Pull,92.8,Cutter
double,106,20,353,Straightaway,98.9,4-Seam Fastball
field_out,82.8,-11,8,Pull,80.5,Curveball
double,103.1,24,388,Opposite,90.4,4-Seam Fastball
single,70.3,13,124,Straightaway,91.8,4-Seam Fastball
field_out,75.8,-2,26,Pull,75.4,Curveball
field_out,96.1,56,244,Straightaway,95.9,4-Seam Fastball
single,78,-7,16,Straightaway,83.9,Changeup
field_out,93,-11,9,Straightaway,86.6,Changeup
single,100.5,10,196,Straightaway,92.6,Sinker
field_out,52.7,-35,4,Pull,87.4,Cutter
double,107.4,19,327,Straightaway,89.9,Sinker
field_out,86.5,45,270,Opposite,69.9,Curveball
field_out,74.9,-20,8,Pull,90.2,Sinker
home_run,97,31,345,Opposite,90.4,4-Seam Fastball
field_out,64,-22,4,Straightaway,79.4,Curveball
field_out,61.8,-32,4,Pull,90.7,Cutter
field_out,105.7,20,343,Pull,81,Changeup
field_out,81.2,-24,6,Pull,82.8,Changeup
field_out,81.5,35,280,Opposite,91.3,Cutter
single,106.4,5,99,Straightaway,75.5,Curveball
field_out,79.8,3,54,Straightaway,88.8,Cutter
single,105.5,8,128,Pull,90.3,4-Seam Fastball
field_out,85.3,46,272,Opposite,91.4,4-Seam Fastball
field_out,86.4,8,117,Straightaway,87.4,Sinker
single,77.6,12,160,Pull,88.6,Slider
single,89.7,-6,18,Straightaway,93.8,4-Seam Fastball
field_out,70.8,-37,4,Pull,96.9,4-Seam Fastball
home_run,105.6,36,402,Straightaway,87.3,Changeup
field_out,100.3,-4,27,Pull,93.8,Sinker
home_run,99.5,36,348,Opposite,94.3,Sinker
single,102.2,1,46,Pull,94.8,4-Seam Fastball
field_out,78,-1,26,Pull,93.1,4-Seam Fastball
field_out,94.7,61,213,Opposite,94.5,4-Seam Fastball
field_out,105.8,20,367,Straightaway,89.3,2-Seam Fastball
field_out,40.2,22,83,Pull,88,Cutter
field_out,88.2,30,322,Straightaway,88.1,Cutter
single,100.1,-13,10,Opposite,89.4,2-Seam Fastball
field_out,63.8,-29,5,Straightaway,79.8,Slider
field_out,98.9,20,324,Pull,94.3,2-Seam Fastball
home_run,103.8,24,408,Opposite,93.1,4-Seam Fastball
field_out,90.9,37,327,Straightaway,94.5,4-Seam Fastball
field_out,97.1,64,177,Straightaway,95.2,4-Seam Fastball
single,104.8,6,145,Straightaway,97.5,4-Seam Fastball
single,102.7,-2,25,Straightaway,90.6,2-Seam Fastball
double,102.6,31,371,Opposite,97.2,4-Seam Fastball
field_out,83.6,35,282,Opposite,78.8,Slider
single,72.1,20,193,Straightaway,81.1,Slider
field_out,88.9,48,285,Opposite,91.5,4-Seam Fastball
field_out,96.5,-7,16,Straightaway,86.4,Knuckle Curve
single,103.9,8,141,Straightaway,89.6,2-Seam Fastball
single,95.5,17,263,Pull,92.8,4-Seam Fastball
field_out,85,-39,3,Pull,97.2,Sinker
field_out,59.6,-23,6,Straightaway,90,Sinker
field_out,71.1,-26,4,Pull,94.3,Sinker
home_run,107.1,33,407,Pull,79.9,Changeup
field_out,89.7,-17,8,Pull,88.3,Sinker
field_out,72.5,2,68,Opposite,91.2,Sinker
field_out,101,-2,25,Straightaway,91.2,2-Seam Fastball
field_out,78,-21,5,Straightaway,90.3,4-Seam Fastball
home_run,103.2,32,393,Pull,94.1,4-Seam Fastball
field_out,102.8,1,44,Pull,81.9,Changeup
field_out,88.8,-2,30,Pull,77.8,Changeup
home_run,99.3,31,394,Pull,78,Changeup
double,108.4,11,268,Opposite,90.7,Sinker
single,109.3,-1,38,Straightaway,91.7,2-Seam Fastball
field_out,82.4,-31,3,Pull,92.1,2-Seam Fastball
field_out,86.2,67,138,Opposite,91.1,4-Seam Fastball
double,102.6,10,179,Opposite,89.6,2-Seam Fastball
single,96.3,0,38,Straightaway,74.9,Curveball
field_out,86.2,25,306,Straightaway,96.6,4-Seam Fastball
field_out,76,-18,6,Pull,83.3,Changeup
field_out,82.4,-18,6,Pull,80.5,Split-Finger
field_out,103.4,33,368,Straightaway,89.8,4-Seam Fastball
field_out,68.6,-30,4,Pull,92.8,4-Seam Fastball
field_out,101.1,30,379,Straightaway,93.7,4-Seam Fastball
field_out,98.6,1,45,Pull,77.3,Curveball
field_out,87.2,45,285,Opposite,90.1,4-Seam Fastball
single,106.4,12,263,Opposite,95.9,4-Seam Fastball
field_out,93.4,-11,10,Pull,84.7,Changeup
field_out,79.6,32,263,Opposite,91.9,Cutter
field_out,101.7,-14,10,Pull,93.8,4-Seam Fastball
field_out,69.2,-56,2,Pull,90.5,Cutter
field_out,98.7,42,332,Straightaway,94.2,4-Seam Fastball
field_out,57.9,-59,1,Opposite,86.2,Changeup
field_out,93.3,32,358,Straightaway,83.7,Slider
field_out,99.4,28,394,Straightaway,96.7,4-Seam Fastball
single,68.7,31,227,Straightaway,86.4,Slider
field_out,53.2,-41,2,Straightaway,87.4,Slider
home_run,108.8,30,446,Pull,91.6,Sinker
home_run,106.1,30,409,Opposite,90.2,4-Seam Fastball
field_out,107.4,18,324,Pull,90.2,4-Seam Fastball
single,88.8,17,226,Opposite,78.7,Curveball
double,103.5,12,273,Straightaway,87.6,Sinker
field_out,99.9,40,345,Pull,83.4,Slider
field_out,95,11,182,Straightaway,89.1,4-Seam Fastball
double,98.1,29,345,Opposite,96.2,4-Seam Fastball
double,81.1,59,199,Opposite,89.2,Cutter
field_out,76.3,-9,12,Pull,90.1,Sinker
field_out,93.3,48,291,Opposite,80.6,Changeup
field_out,70.3,-13,10,Straightaway,81.8,Changeup
single,99.2,-5,20,Straightaway,85.6,Cutter
field_out,99.4,-10,12,Straightaway,94.1,Sinker
field_out,93.8,-14,8,Pull,82.7,Changeup
single,107.2,0,46,Straightaway,88.8,2-Seam Fastball
single,105,4,77,Straightaway,97.3,Sinker
field_out,109.1,0,57,Opposite,92,2-Seam Fastball
field_out,97.4,26,381,Straightaway,95.8,4-Seam Fastball
field_out,84.8,24,290,Opposite,76.3,Curveball
field_out,99.6,-2,33,Pull,85.9,Slider
single,108.5,13,243,Pull,94.9,4-Seam Fastball
single,107,-1,38,Straightaway,95.3,4-Seam Fastball
field_out,58.6,-41,1,Straightaway,80.3,Slider
field_out,52.2,-86,0,Straightaway,81.5,Cutter
field_out,67.4,-15,10,Straightaway,86.1,Slider
single,94.1,-14,11,Pull,93.2,4-Seam Fastball
double,104.3,20,274,Pull,92.2,4-Seam Fastball
field_out,90.4,-22,6,Pull,94.8,4-Seam Fastball
single,96.7,6,114,Straightaway,90.3,4-Seam Fastball
single,89.4,19,257,Straightaway,86.5,Cutter
field_out,81.4,12,143,Pull,92.3,Sinker
field_out,98,21,321,Opposite,94,Sinker
field_out,79.1,5,81,Opposite,93,2-Seam Fastball
single,103.3,13,187,Pull,89.4,Cutter
single,85.5,7,118,Opposite,94.7,Sinker
field_out,100.4,18,323,Opposite,90.5,4-Seam Fastball
double,91,6,114,Opposite,95.4,4-Seam Fastball
field_out,93.4,-21,8,Straightaway,95.4,4-Seam Fastball
field_out,79.8,45,243,Straightaway,82.5,Slider
field_out,92.6,47,295,Opposite,85.8,Changeup
field_out,77.3,-28,4,Straightaway,89.1,Changeup
single,96.3,-14,6,Pull,84.9,Slider
field_out,89.3,42,306,Pull,86.2,4-Seam Fastball
single,108.3,13,242,Pull,87.9,4-Seam Fastball
double,106,2,71,Pull,94.6,4-Seam Fastball
field_out,88.7,-8,11,Pull,69.9,Curveball
single,103.8,10,179,Straightaway,91.3,4-Seam Fastball
field_out,94.4,39,333,Straightaway,94.8,4-Seam Fastball
field_out,84.4,-26,3,Pull,95.1,4-Seam Fastball
field_out,96.8,2,58,Pull,89.3,Cutter
single,82.4,12,168,Opposite,89.2,2-Seam Fastball
single,80.1,13,160,Straightaway,96.9,4-Seam Fastball
field_out,97.6,32,377,Straightaway,96.2,4-Seam Fastball
single,107.1,9,201,Opposite,84.2,Changeup
field_out,101.8,19,282,Pull,85.1,Changeup
field_out,90.2,-5,23,Pull,89.9,Sinker
field_out,82.5,82,54,Opposite,90.1,4-Seam Fastball
field_out,100.4,34,389,Straightaway,78.2,Changeup
field_out,95.1,0,46,Pull,78.3,Changeup
single,62.8,-23,7,Pull,88.3,Slider
single,104.5,-4,23,Straightaway,89.6,2-Seam Fastball
single,97,-5,16,Straightaway,91.5,2-Seam Fastball
field_out,103.7,-9,13,Straightaway,90.9,4-Seam Fastball
field_out,89,49,279,Opposite,84.3,Changeup
single,100.1,13,223,Straightaway,86.2,Changeup
home_run,108.9,25,382,Pull,91.9,Sinker
field_out,54.4,-47,2,Straightaway,80.9,Changeup
field_out,102.2,-1,35,Straightaway,95.5,4-Seam Fastball
single,105.6,6,108,Pull,96.9,4-Seam Fastball
field_out,69.2,-50,2,Pull,83.2,Slider
field_out,93.7,-16,7,Pull,92.9,4-Seam Fastball
field_out,99.4,31,386,Straightaway,96.8,4-Seam Fastball
single,57,24,139,Opposite,89.3,Cutter
field_out,76.5,-36,3,Opposite,94,2-Seam Fastball
field_out,94.6,49,290,Straightaway,85.6,Changeup
field_out,71.6,-1,35,Pull,88,Changeup
single,95.4,4,76,Straightaway,86.7,Cutter
single,90.4,20,275,Straightaway,80.4,Slider
single,82.5,13,164,Pull,93.1,2-Seam Fastball
field_out,92.8,21,289,Straightaway,84.6,Slider
home_run,108.3,20,400,Pull,92.2,4-Seam Fastball
field_out,101.2,4,84,Pull,90.3,4-Seam Fastball
field_out,75.2,-32,4,Pull,95.1,4-Seam Fastball
home_run,105.8,34,411,Opposite,92.2,Sinker
double,103.6,11,184,Pull,92.4,2-Seam Fastball
field_out,56.9,-50,2,Straightaway,91.3,Sinker
single,96.3,14,247,Opposite,77.2,Curveball
field_out,96.9,38,345,Straightaway,87.5,Cutter
home_run,108.7,35,402,Straightaway,89.8,Sinker
single,99.6,7,119,Pull,94.4,2-Seam Fastball
field_out,66.8,20,168,Straightaway,94,4-Seam Fastball
double,101.9,33,371,Opposite,90.8,4-Seam Fastball
field_out,89.1,-19,6,Pull,83.2,Changeup
single,84,12,196,Straightaway,82.5,Slider
single,99.2,-3,25,Straightaway,96.8,2-Seam Fastball
field_out,71.2,60,163,Opposite,97,4-Seam Fastball
field_out,96,32,365,Straightaway,81.9,Curveball
field_out,97,59,244,Opposite,92.2,4-Seam Fastball
double,96.2,-2,30,Pull,74.2,Curveball
double,101.6,22,363,Pull,74.9,Curveball
home_run,101.5,29,387,Opposite,82,Changeup
field_out,93.1,11,181,Straightaway,90.7,Sinker
field_out,92.6,30,373,Straightaway,91.1,Sinker
field_out,95.1,27,339,Opposite,92.3,2-Seam Fastball
single,99.7,6,104,Pull,81.3,Curveball
single,88.1,-12,10,Straightaway,84.8,Knuckle Curve
field_out,85.6,30,317,Straightaway,92.8,4-Seam Fastball
home_run,99.7,33,394,Straightaway,93.2,4-Seam Fastball
field_out,89.3,19,264,Pull,95.9,4-Seam Fastball
field_out,104.7,21,384,Straightaway,81.4,Curveball
field_out,44.2,-26,5,Straightaway,88.8,2-Seam Fastball
field_out,86.5,25,304,Straightaway,89.4,2-Seam Fastball
single,95,15,231,Straightaway,85.7,Cutter
single,98.4,16,261,Opposite,93.7,4-Seam Fastball
home_run,108,33,419,Straightaway,94.3,4-Seam Fastball
field_out,85.1,50,246,Straightaway,94.7,4-Seam Fastball
single,71.7,33,248,Opposite,83,Changeup
double,103.9,25,378,Opposite,90.5,4-Seam Fastball
field_out,88.5,48,267,Straightaway,90.9,4-Seam Fastball
field_out,55.8,-43,2,Pull,86.5,Changeup
field_out,92.8,29,334,Opposite,91.5,4-Seam Fastball
single,103.2,12,239,Opposite,80.1,Curveball
single,83.6,16,200,Straightaway,83.7,Slider
field_out,91.2,-12,12,Straightaway,96.4,4-Seam Fastball
field_out,74.5,7,83,Pull,81.3,Slider
